,Python Basics,Data Analysis,Machine Learning,Deep Learning,SQL Fundamentals,Web Development,Cloud Computing,NLP Basics
Intern_1,5.0,5.0,0.0,0.0,0.0,3.0,2.0,5.0
Intern_2,3.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0
Intern_3,4.0,0.0,5.0,0.0,4.0,3.0,0.0,4.0
Intern_4,0.0,5.0,3.0,4.0,0.0,2.0,0.0,2.0
Intern_5,0.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0
Intern_6,4.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0
Intern_7,0.0,4.0,3.0,0.0,3.0,0.0,1.0,1.0
Intern_8,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0
Intern_9,5.0,0.0,4.0,4.0,0.0,5.0,0.0,3.0
Intern_10,0.0,3.0,0.0,3.0,4.0,4.0,0.0,0.0
Intern_11,0.0,0.0,0.0,3.0,5.0,3.0,5.0,1.0
Intern_12,4.0,5.0,0.0,0.0,0.0,2.0,2.0,5.0
Intern_13,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
Intern_14,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0
Intern_15,0.0,5.0,0.0,5.0,0.0,4.0,2.0,0.0
